dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.003492,4.268000,0.003704,0.148148,2.962963,59.259259,0.000050
0.050000,0.014722,4.268002,0.014933,0.224593,1.528898,-28.681296,0.000212
0.050000,0.033438,4.268008,0.033649,0.374317,2.994483,29.311693,0.000482
0.050000,0.059639,4.268026,0.059851,0.524034,2.994346,-0.002739,0.000859
0.050000,0.093326,4.268063,0.093538,0.673742,2.994154,-0.003837,0.001342
0.050000,0.134498,4.268130,0.134710,0.823438,2.993907,-0.004937,0.001931
0.050000,0.183154,4.268241,0.183366,0.973118,2.993605,-0.006041,0.002625
0.050000,0.239293,4.268411,0.239505,1.122780,2.993248,-0.007148,0.003422
0.050000,0.302913,4.268657,0.303126,1.272422,2.992835,-0.008259,0.004321
0.050000,0.374015,4.269000,0.374228,1.422040,2.992366,-0.009374,0.005320
0.050000,0.452595,4.269461,0.452810,1.571632,2.991841,-0.010495,0.006418
0.050000,0.538653,4.270065,0.538869,1.721195,2.991260,-0.011620,0.007613
0.050000,0.632186,4.270837,0.632406,1.870726,2.990623,-0.012751,0.008902
0.050000,0.733192,4.271806,0.733417,2.020223,2.989928,-0.013888,0.010284
0.050000,0.841670,4.273002,0.841901,2.169682,2.989177,-0.015031,0.011755
0.050000,0.957616,4.274455,0.957856,2.319100,2.988368,-0.016179,0.013312
0.050000,1.081027,4.276200,1.081280,2.468475,2.987501,-0.017332,0.014954
0.050000,1.211901,4.278270,1.212170,2.617804,2.986577,-0.018491,0.016676
0.050000,1.350234,4.280702,1.350524,2.767084,2.985594,-0.019655,0.018475
0.050000,1.496022,4.283532,1.496340,2.916311,2.984553,-0.020824,0.020349
0.050000,1.649261,4.286800,1.649614,3.065484,2.983453,-0.021997,0.022292
0.050000,1.809947,4.290545,1.810344,3.214599,2.982294,-0.023174,0.024301
0.050000,1.978076,4.294806,1.978526,3.363653,2.981077,-0.024353,0.026372
0.050000,2.153642,4.299625,2.154158,3.512642,2.979800,-0.025535,0.028500
0.050000,2.336640,4.305042,2.337237,3.661566,2.978464,-0.026718,0.030682
0.050000,2.527065,4.311099,2.527758,3.810419,2.977069,-0.027902,0.032911
0.050000,2.724910,4.317839,2.725718,3.959200,2.975615,-0.029086,0.035184
0.050000,2.926438,4.325162,2.927379,4.033222,1.480445,-29.903385,0.037454
